elevation,over_20_pc_canopy_cover,habitat_class,country,percent_loss,longitude_round
4024,1,low,china,0,98
2986,1,low,china_spp,31.29251701,104
2373,1,moderate,nepal,0,83
4344,0,low,china,0,95
2057,1,moderate,china_spp,2.944062807,103
3354,1,low,nepal,0.299401198,82
3796,0,moderate,nepal,0,82
3630,0,low,china,0,101
2401,1,low,,0,99
276,1,low,india,0.094250707,92
3168,0,low,nepal,0,83
1257,1,moderate,china_spp,2.408376963,103
3084,1,core,bhutan,0.188146754,89
2719,1,low,india,0,97
3600,1,low,china,0,95
1715,0,low,,0,100
2355,1,low,china,0,100
3337,0,low,china,0,99
2906,0,moderate,nepal,0,82
2737,0,low,bhutan,0,90
2274,0,low,nepal,0,82
2162,0,low,,0,99
3605,0,low,,0,100
3486,1,low,nepal,2.416918429,83
2873,0,core,bhutan,0,89
2565,1,low,nepal,2.366863905,83
2060,0,low,china_spp,0,102
3515,1,low,,0.343053173,100
3104,0,moderate,bhutan,0,90
3710,1,core,china_spp,4.539007092,102
3518,1,low,bhutan,0,91
4530,0,low,china,0,95
4096,1,low,china,19.65648855,95
3311,1,low,china_spp,0,103
3028,1,low,india,0,96
2434,1,low,india,0,96
2806,1,moderate,china,0.196463654,100
3814,0,moderate,china_spp,0,103
2593,1,low,india,0,93
4133,0,low,india,0,94
2718,1,low,china,0.248447205,97
2541,1,low,china,0,95
818,1,low,china_spp,0,104
2807,1,core,burma,0.113250283,98
2402,1,low,,0,99
1870,1,moderate,india,0,95
3213,1,moderate,china_spp,1.179941003,103
3422,1,moderate,burma,0,97
2524,1,moderate,china_spp,0,102
1547,1,low,china,0.824742268,95
4095,0,moderate,china,0,100
3858,1,low,china,0,99
2716,0,moderate,china_spp,0,103
3042,1,core,india,0,93
2751,1,low,china_spp,0,102
2561,1,core,nepal,0,88
4005,1,moderate,bhutan,0,91
4327,1,low,china,0,94
3399,0,low,china,0,94
3098,1,core,india,0,96
2598,1,moderate,burma,0,99
3481,1,moderate,china_spp,0.205549846,103
1575,1,moderate,burma,0.090171326,97
3093,0,low,china_spp,0,103
3002,1,moderate,india,0,88
4266,0,low,china,0,97
2141,1,moderate,burma,0,98
2998,1,moderate,china_spp,0.765306122,103
4058,0,low,china,0,91
5172,0,low,china,0,97
1384,1,moderate,china_spp,0,103
3819,0,low,china,0,97
2779,1,low,,0,99
3796,0,low,china,0,95
2875,1,low,india,0,95
3409,0,low,china_spp,0,102
2695,1,low,china,0,98
3149,1,moderate,bhutan,0,91
639,0,low,india,0,95
1617,0,low,india,0,92
1530,1,low,india,0,95
2649,0,low,china_spp,0,104
2305,0,moderate,,0,99
2530,0,moderate,nepal,0,85
2955,1,moderate,bhutan,0,90
3406,0,low,china,0,97
2264,0,low,india,0,97
3589,0,moderate,nepal,0,84
1951,1,core,burma,0,98
3662,0,low,china,0,98
3065,1,moderate,china,0,99
3067,1,moderate,bhutan,0,91
2565,1,moderate,china,0,98
2151,0,moderate,nepal,0,82
3490,1,core,india,0,93
2187,0,moderate,nepal,0,88
2414,1,moderate,,0,99
3004,1,low,china,1.135288553,100
1950,1,moderate,burma,0,98
2986,1,moderate,burma,0,98
3664,1,low,china,0,99
3967,1,low,bhutan,0.102040816,90
1472,0,moderate,nepal,0,82
2687,1,moderate,china_spp,14.42035815,103
2901,0,moderate,china,0,100
3194,1,moderate,india,0,94
2055,1,low,china_spp,0,104
3467,1,moderate,china,0,100
4034,0,low,china,0,97
3502,1,low,china,0,101
2600,0,core,china_spp,0,103
2601,1,low,bhutan,0,90
2947,1,core,india,0,88
4342,1,low,china,0,94
2390,1,low,china,0,95
2811,0,low,china,0,100
2243,0,moderate,nepal,0,83
3506,1,moderate,china,0.147275405,99
2424,1,moderate,burma,2.250351617,99
2885,1,low,china,0,95
3365,0,low,china,0,101
2435,1,low,china,0,95
2815,0,core,bhutan,0,91
4390,0,low,china,0,96
1657,1,low,nepal,0,84
2566,1,moderatecore,burma,0,99
4004,1,low,china,0,95
2827,1,low,nepal,0.115606936,83
3878,0,low,china,0,95
2714,1,moderate,china_spp,0.301204819,103
3418,0,low,china,0,97
3503,0,low,china,0,98
2272,0,moderate,,0,99
3928,0,low,china,0,100
4118,1,low,china,0,96
3559,1,core,nepal,0,87
2408,1,moderate,,0,99
3047,1,low,nepal,12.34567901,82
1617,1,moderate,nepal,0,87
4656,0,low,china,0,100
2603,1,low,china,0,100
1802,1,moderate,burma,0.644567219,97
4691,0,low,india,0,97
2940,0,low,china,0,94
2904,1,moderate,burma,0,99
3433,1,moderate,china_spp,0,103
3971,0,core,nepal,0,88
2226,1,moderate,nepal,0.113765643,82
4018,1,low,china,0,98
1571,1,low,china_spp,1.209302326,104
3051,1,moderate,china,0,99
3917,1,low,china,0.092336103,100
2818,1,moderate,china_spp,0,103
3261,0,low,china,0,101
3183,0,moderate,burma,0,98
2684,0,moderate,burma,0,98
1365,1,low,china,0,95
2906,1,low,china,0,96
3206,1,low,,1.798063624,100
3130,1,core,bhutan,0.36900369,92
2140,1,moderate,china_spp,0.724637681,102
3918,0,low,nepal,0,83
1790,1,moderate,india,1.323251418,97
2397,1,moderate,burma,0,99
4073,0,low,china,0,93
1674,1,moderate,india,1.262398557,93
4633,0,low,china,0,94
3425,0,low,india,0,92
3373,1,low,india,0,96
3643,1,low,china,0,94
3633,0,low,china,0,94
3503,1,low,,0,99
3257,1,low,china,0.25477707,99
3034,1,moderate,china,0,95
2738,1,moderate,china_spp,0.636942675,102
1976,0,moderate,burma,0,97
2226,1,core,india,0,89
2787,0,low,china_spp,0,102
2759,1,core,india,0,88
1922,1,low,china_spp,1.805054152,104
548,1,moderate,india,1.552795031,92
1393,1,moderate,bhutan,0,89
3918,0,low,china,0,99
1515,1,low,china_spp,10.73038774,103
3345,1,moderate,india,0,88
2472,0,core,nepal,0,86
3295,0,core,india,0,96
2442,1,low,china_spp,0.61500615,103
1074,1,low,china_spp,8.896396396,103
2934,1,moderate,china,19.3124368,101
2929,0,low,,0,100
4095,1,low,china,0,95
1332,0,moderate,india,0,92
3148,0,low,china,0,100
1795,1,moderate,burma,0,97
4716,0,low,china,0,98
2671,0,low,,0,99
1362,1,low,china_spp,0,104
2089,0,core,nepal,0,88
4310,0,low,china,0,95
1249,1,moderate,china_spp,4.223968566,104
1948,0,moderate,nepal,0,86
2636,1,core,nepal,0,87
3212,1,low,china,0.39800995,99
3863,1,low,china,0,99
2898,0,low,china,0,98
2821,1,low,,0.604229607,99
3656,1,core,nepal,0,88
3040,1,moderate,nepal,0,81
2588,0,low,,0,100
4504,0,low,china,0,94
2703,1,low,bhutan,0,89
4060,0,low,china,0,94
2014,1,moderate,china_spp,0.365965233,103
2516,0,moderate,burma,0,99
2950,1,low,china,0.404448938,99
1497,0,moderate,nepal,0,86
2173,1,moderate,,1.837524178,98
3366,0,moderate,india,0,93
2493,1,low,nepal,0.508259212,82
3267,1,core,bhutan,0.491159136,90
2092,1,moderate,china,12.05510907,100
3260,1,low,china_spp,0,102
2529,1,core,china_spp,0,103
4077,1,low,china,0,99
3963,0,moderate,china_spp,0,103
4154,0,low,china,0,96
3663,1,low,china,1.224489796,95
2838,1,moderate,china,0,95
2693,1,core,nepal,0,88
1551,1,moderate,china_spp,0.450856628,103
1933,1,core,bhutan,0,89
3684,1,low,china,0,99
1497,1,moderate,burma,3.41997264,98
1592,0,low,nepal,0,83
3849,1,moderate,china,0,100
4640,0,low,china,0,97
2615,1,moderate,china,0,95
4519,0,low,bhutan,0,90
2945,1,moderate,nepal,0,84
4601,0,moderate,china_spp,0,102
3377,1,low,china,0,100
2085,1,moderate,nepal,1.38121547,82
3721,1,low,china,26.46520147,95
4552,0,low,china,0,93
2352,1,low,china,0,95
1527,0,low,china_spp,0,103
2012,1,moderate,nepal,1.939058172,87
3652,1,low,india,0,96
1673,1,core,india,0.805369128,88
3517,1,low,,0.180505415,99
3817,0,low,china,0,97
3321,1,low,china_spp,17.48526523,104
2882,1,low,china,0,98
2977,1,low,china_spp,0.185356812,103
2156,1,core,burma,0,98
3678,0,moderate,china,0,100
1104,1,low,india,36.8372093,91
1918,1,core,burma,0,98
1898,0,low,china,0,98
3061,1,low,nepal,0,82
2611,1,low,china_spp,7.207207207,104
3952,0,low,china,0,99
2274,0,low,china,0,98
2622,1,lowmoderate,china,0,98
2724,0,low,india,0,97
4602,0,low,china,0,98
1641,1,moderate,burma,0.97799511,99
3184,1,moderate,bhutan,0,92
4027,1,low,china,1.083743842,100
3431,0,low,china,0,95
4124,0,core,nepal,0,87
2924,1,low,nepal,1.699029126,82
2962,1,low,china,0,94
2203,1,low,china_spp,0,104
907,1,low,china_spp,0.297029703,103
2004,0,moderate,nepal,0,83
3733,1,moderate,china_spp,0,102
3474,1,low,china,0,95
3274,0,low,china,0,101
3021,1,moderate,india,0.903342367,92
4054,1,low,china,0,99
2438,0,core,nepal,0,88
2234,1,low,india,0,95
3170,1,low,china,0,96
4359,1,moderate,china,0,100
2198,0,low,china_spp,0,102
2046,1,low,bhutan,0,89
3112,0,low,burma,0,98
2990,0,moderate,china,0,99
2293,1,core,china,0,86
3503,0,low,china,0,96
4695,0,moderate,china_spp,0,102
3142,0,low,china,0,94
3490,1,core,china_spp,0,102
2821,1,core,india,0,96
4105,0,low,china,0,96
3893,1,low,china,0,100
3161,0,core,china_spp,0,103
3392,0,moderate,nepal,0,87
3597,1,low,china,0,95
2216,1,low,burma,0,97
2975,1,low,china,0,101
3021,1,low,china,0,100
2932,0,low,,0,100
3746,1,low,china,0,100
2294,0,low,china,0,100
1595,1,moderate,nepal,0.246609125,82
1800,1,low,china,0.864553314,100
3811,0,moderate,india,0,95
3250,0,moderate,china_spp,0,102
1845,0,moderate,burma,0,98
2304,1,moderate,china_spp,0,102
3613,0,moderate,india,0,94
1766,1,low,china_spp,1.623083859,104
3613,1,moderate,nepal,0,82
3775,0,low,nepal,0,83
5139,0,moderate,china_spp,0,103
3920,1,moderate,china,0,100
3027,1,core,india,0,92
3593,0,core,nepal,0,87
3504,0,moderate,china,0,98
4964,0,low,china,0,97
3483,1,low,china_spp,0,102
1846,1,low,china_spp,0,103
1597,0,moderate,nepal,0,86
3504,0,low,india,0,94
2889,1,moderate,china,0,98
1352,0,moderate,india,0,91
2708,0,low,nepal,0,83
2827,0,low,china_spp,0,102
3572,0,moderate,china,0,100
2600,1,low,india,0,96
3589,1,low,bhutan,0.09380863,90
1607,0,moderate,nepal,0,87
2853,1,moderate,china_spp,0,103
3891,0,moderate,china,0,99
3150,0,low,china_spp,0,103
3290,0,low,china,0,101
2505,1,low,bhutan,0,91
2639,1,moderate,nepal,0,83
3607,0,low,china_spp,0,103
3946,1,low,china,0,96
3535,0,moderate,china,0,100
2378,1,moderate,,11.55339806,98
2881,1,moderate,nepal,0.105932203,83
1363,0,moderate,nepal,0,86
3387,0,moderate,china_spp,0,103
2825,0,low,,0,100
2870,0,moderate,china,0,99
3234,1,low,china,0.180505415,97
1082,0,low,nepal,0,84
3726,1,low,india,0.198412698,93
2287,0,low,china,0,100
1744,0,moderate,nepal,0,86
1914,0,core,nepal,0,88
2951,1,moderate,nepal,0,88
3459,0,low,china,0,99
2596,1,moderate,bhutan,0.091324201,91
1982,1,low,china_spp,6.135531136,104
3042,1,moderate,china_spp,0,103
2581,1,core,india,0,93
3927,0,moderate,china_spp,0,103
4295,1,low,china,0,91
2889,0,low,,0,99
4546,1,low,china,0,100
1798,1,moderate,,2.115158637,98
1031,1,low,india,6.679764244,92
3776,1,core,india,0,97
1937,0,low,china,0,97
2261,1,lowmoderate,burma,0,98
3624,1,low,china_spp,0,103
3410,1,moderate,nepal,0,83
2306,1,low,china,0,97
2589,0,low,nepal,0,82
3124,0,moderate,nepal,0,82
2371,1,core,nepal,0,87
3852,0,low,china,0,95
2326,1,moderate,burma,0,99
3587,1,low,china_spp,0,103
2889,1,moderate,nepal,2.473498233,87
3095,0,moderate,nepal,0,82
1451,0,low,india,0,97
3885,1,low,china,1.204819277,99
3104,1,core,nepal,0,87
1393,1,moderate,burma,0,98
3140,1,low,india,0,93
1530,1,low,burma,0.180342651,97
4292,0,low,china,0,94
3388,1,low,china,0,99
2939,0,moderate,bhutan,0,90
1947,0,low,,0,100
2054,1,low,india,0,95
3025,1,core,china_spp,0,103
3224,1,low,china,0.102774923,95
3895,1,low,china,0,101
