loss_mean,elevation,Country,IUCN RATING,over_20_pc_canopy_cover,Habitat_class,longitude
,3694,China_fulgens,,0,Low,99
0,1892,Burma,,1,Moderate,99
,3703,India,,0,Moderate,95
9.89E-04,3032,China_fulgens,,1,Low,99
0,4052,China_fulgens,,1,Low,99
,3356,China_fulgens,,0,Low,96
0,2484,china_styani,,1,Moderate,103
,3733,China_fulgens,,0,Low,98
0.041894353,2213,Burma,,1,Core,98
0.010727056,3430,Nepal,,1,Moderate,82
,2568,China_fulgens,,0,Low,101
0.016274864,2545,Burma,,1,Low,99
,4161,China_fulgens,,0,Moderate,94
0.027993779,2117,China_fulgens,,1,Low,101
0.005300353,3945,china_styani,,1,Moderate,103
0,2675,Burma,,1,Moderate,98
0.002707581,1093,Burma,IUCN IV,1,Low,97
0.001004016,4338,China_fulgens,,1,Low,95
0,4125,China_fulgens,,1,Low,98
0.029333333,1797,China_fulgens,,1,Low,99
0,3219,India,,1,Low,96
,3706,China_fulgens,,0,Low,99
0,1739,Burma,IUCN IV,1,Moderate,97
0.017610063,2043,china_styani,,1,Moderate,103
9.02E-04,1059,Burma,,1,Core,98
0.001597444,3524,Nepal,,1,Moderate,82
,2967,China_fulgens,,0,Low,94
0.008368201,2745,China_fulgens,,1,Low,95
,2207,China_fulgens,,0,Low,100
0,2682,Nepal,IUCN VI,1,Moderate,85
0,2189,India,,1,Moderate,94
,4065,China_fulgens,,0,Low,100
0.002134472,2903,china_styani,,1,Moderate,103
0.001899335,3079,china_styani,,1,Low,104
9.06E-04,881,India,,1,Low,91
,1971,China_fulgens,,0,Low,99
0,2539,China_fulgens,,1,Low,95
,4007,china_styani,,0,Moderate,102
0,1995,China_fulgens,,1,Low,95
,2319,China_fulgens,,0,Low,100
,2906,Nepal,,0,Moderate,82
,2215,Burma,,0,Low,98
0,3644,China_fulgens,,1,Low,101
,1924,China_fulgens,,0,Low,100
0,3404,China_fulgens,,1,Low,99
0,3022,Nepal,,1,Moderate,85
0.007213706,1825,china_styani,,1,Moderate,103
,4201,Burma,IUCN II,0,Low,98
0,3497,India,,1,Low,89
,1971,china_styani,,0,Low,104
,4202,china_styani,,0,Low,104
0,1940,Nepal,,1,Moderate,83
0.063348416,1607,china_styani,,1,Moderate,103
,2758,Nepal,,0,Moderate,82
0.002057613,1478,Bhutan,,1,Moderate,89
