loss_mean,elevation,longtitude,country,iucn,over_20_pc_canopy_cover,habitat_class
,3694,99,China_fulgens,,0,Low
0,1892,99,Burma,,1,Moderate
,3703,95,India,,0,Moderate
9.89E-04,3032,99,China_fulgens,,1,Low
0,4052,99,China_fulgens,,1,Low
,3356,96,China_fulgens,,0,Low
0,2484,103,china_styani,,1,Moderate
,3733,98,China_fulgens,,0,Low
0.041894353,2213,98,Burma,,1,Core
0.010727056,3430,82,Nepal,,1,Moderate
,2568,101,China_fulgens,,0,Low
0.016274864,2545,99,Burma,,1,Low
,4161,94,China_fulgens,,0,Moderate
0.027993779,2117,101,China_fulgens,,1,Low
0.005300353,3945,103,china_styani,,1,Moderate
0,2675,98,Burma,,1,Moderate
0.002707581,1093,97,Burma,IUCN IV,1,Low
0.001004016,4338,95,China_fulgens,,1,Low
0,4125,98,China_fulgens,,1,Low
0.029333333,1797,99,China_fulgens,,1,Low
0,3219,96,India,,1,Low
,3706,99,China_fulgens,,0,Low
0,1739,97,Burma,IUCN IV,1,Moderate
0.017610063,2043,103,china_styani,,1,Moderate
9.02E-04,1059,98,Burma,,1,Core
0.001597444,3524,82,Nepal,,1,Moderate
,2967,94,China_fulgens,,0,Low
0.008368201,2745,95,China_fulgens,,1,Low
,2207,100,China_fulgens,,0,Low
0,2682,85,Nepal,IUCN VI,1,Moderate
0,2189,94,India,,1,Moderate
,4065,100,China_fulgens,,0,Low
0.002134472,2903,103,china_styani,,1,Moderate
0.001899335,3079,104,china_styani,,1,Low
9.06E-04,881,91,India,,1,Low
,1971,99,China_fulgens,,0,Low
0,2539,95,China_fulgens,,1,Low
,4007,102,china_styani,,0,Moderate
0,1995,95,China_fulgens,,1,Low
,2319,100,China_fulgens,,0,Low
,2906,82,Nepal,,0,Moderate
,2215,98,Burma,,0,Low
0,3644,101,China_fulgens,,1,Low
,1924,100,China_fulgens,,0,Low
0,3404,99,China_fulgens,,1,Low
0,3022,85,Nepal,,1,Moderate
0.007213706,1825,103,china_styani,,1,Moderate
,4201,98,Burma,IUCN II,0,Low
0,3497,89,India,,1,Low
,1971,104,china_styani,,0,Low
,4202,104,china_styani,,0,Low
0,1940,83,Nepal,,1,Moderate
0.063348416,1607,103,china_styani,,1,Moderate
,2758,82,Nepal,,0,Moderate
0.002057613,1478,89,Bhutan,,1,Moderate
0.008122744,2270,103,china_styani,,1,Moderate
0,1172,103,china_styani,,1,Low
0,3234,100,China_fulgens,,1,Low
,3709,85,Nepal,,0,Moderate
,2243,82,Nepal,,0,Low
0.004512635,2105,88,India,,1,Moderate
,4006,99,China_fulgens,,0,Low
0,1878,94,India,,1,Low
,1883,100,China_fulgens,,0,Low
0,2651,95,China_fulgens,,1,Low
,1488,86,Nepal,,0,Low
0.010091743,1431,103,china_styani,,1,Low
,1820,103,china_styani,,0,Moderate
,2723,96,China_fulgens,,0,Low
,1619,100,China_fulgens,,0,Low
,4705,98,China_fulgens,,0,Low
0.00456621,3333,92,China_fulgens,,1,Moderate
0,3757,96,India,,1,Low
,3134,97,China_fulgens,,0,Low
0,2530,98,Burma,IUCN II,1,Moderate
0,2446,82,Nepal,,1,Moderate
,3425,101,China_fulgens,,0,Low
,750,103,china_styani,,0,Moderate
0.004464286,2936,99,China_fulgens,,1,Moderate
0,3744,97,China_fulgens,,1,Low
0,3682,102,china_styani,,1,Low
,3541,96,China_fulgens,,0,Low
,4374,100,China_fulgens,,0,Low
,4464,103,china_styani,,0,Moderate
0,3976,99,China_fulgens,,1,Low
,2497,101,China_fulgens,,0,Low
0,3904,99,China_fulgens,,1,Low
,1353,89,India,,0,Moderate
,1569,99,China_fulgens,,0,Low
0,3187,91,Bhutan,IUCN II,1,Moderate
,4312,96,China_fulgens,,0,Low
,5062,95,China_fulgens,,0,Low
0,2623,91,Bhutan,IUCN II,1,Core
,2928,85,China_fulgens,,0,Core
0.012060302,2074,103,china_styani,,1,Low
,2566,82,Nepal,,0,Moderate
,4565,95,China_fulgens,,0,Low
0,3152,102,china_styani,,1,Moderate
0,3820,91,Bhutan,IUCN II,1,Core
0.010152284,4016,98,China_fulgens,,1,Low
0,2437,83,Nepal,,1,Moderate
0,3085,99,China_fulgens,,1,Low
0.012738854,1486,103,china_styani,,1,Core
,3709,96,China_fulgens,,0,Low
,2774,82,Nepal,,0,Moderate
,3599,103,china_styani,,0,Moderate
,4362,99,China_fulgens,,0,Low
0.00185701,1571,96,India,,1,Low
0,2234,98,Burma,IUCN II,1,Core
9.05E-04,2259,103,china_styani,,1,Moderate
0,2644,96,India,,1,Low
0,2282,96,India,,1,Low
0,2200,95,India,,1,Low
,3514,96,China_fulgens,,0,Low
0.237623762,2066,104,china_styani,,1,Low
0.024861878,942,91,India,,1,Moderate
0,2134,98,Burma,,1,Moderate
,3758,96,China_fulgens,,0,Low
,2827,83,Nepal,,0,Moderate
,5010,94,China_fulgens,,0,Low
,4151,97,China_fulgens,,0,Low
0.713627993,2351,103,china_styani,,1,Moderate
0.024567789,2212,103,china_styani,,1,Low
,3636,99,China_fulgens,,0,Low
0.005979073,2080,99,Burma,IUCN II,1,Moderate
,1594,82,Nepal,,0,Moderate
0,3647,101,China_fulgens,,1,Low
9.07E-04,2975,103,china_styani,,1,Core
,1504,87,Nepal,IUCN VI,0,Moderate
0,3144,95,China_fulgens,,1,Low
0,3327,99,China_fulgens,,1,Low
0.011308562,4181,95,China_fulgens,,1,Low
,1741,99,China_fulgens,,0,Low
0,3707,99,China_fulgens,,1,Low
0,2994,91,Bhutan,IUCN II,1,Moderate
,3176,99,China_fulgens,,0,Moderate
,5146,95,China_fulgens,,0,Low
,3741,97,China_fulgens,,0,Low
0,4164,99,China_fulgens,,1,Low
0.002754821,3124,99,China_fulgens,,1,Low
0.014749263,2603,103,china_styani,,1,Core
,4151,90,Bhutan,IUCN II,0,Low
0.002932551,1966,83,Nepal,,1,Moderate
9.02E-04,1961,103,china_styani,,1,Moderate
,4455,96,China_fulgens,,0,Low
,3914,100,China_fulgens,,0,Low
0.056533828,2154,99,Burma,,1,Moderate
0,2260,95,India,,1,Moderate
,3785,99,China_fulgens,,0,Low
0.001015228,3178,82,Nepal,,1,Low
0,1582,93,India,,1,Moderate
0,2348,103,china_styani,,1,Moderate
0.001019368,3161,100,China_fulgens,,1,Moderate
9.07E-04,1205,98,Burma,IUCN IV,1,Moderate
,5337,87,China_fulgens,,0,Low
,4147,94,China_fulgens,,0,Moderate
,4996,102,china_styani,,0,Moderate
,2497,95,China_fulgens,,0,Moderate
0,3515,91,Bhutan,,1,Moderate
0.058611362,1744,103,china_styani,,1,Moderate
,4074,94,China_fulgens,,0,Moderate
0,3151,99,China_fulgens,,1,Low
0,3803,90,Bhutan,IUCN II,1,Moderate
,1079,103,china_styani,,0,Low
0,2816,99,China_fulgens,,1,Low
0.00405954,2051,103,china_styani,,1,Moderate
,3140,98,China_fulgens,,0,Low
,3641,97,China_fulgens,,0,Low
,1685,92,India,,0,Low
0.107370337,3984,91,Bhutan,IUCN II,1,Core
,4003,99,China_fulgens,,0,Moderate
0,1640,98,Burma,IUCN II,1,Moderate
,3736,96,China_fulgens,,0,Low
,2217,96,India,,0,Low
,2711,100,China_fulgens,,0,Low
,2579,85,Nepal,,0,Moderate
,4309,98,China_fulgens,,0,Low
0,3336,101,China_fulgens,,1,Low
0,3131,95,China_fulgens,,1,Low
9.60E-04,2992,99,China_fulgens,,1,Low
,2016,83,Nepal,,0,Moderate
0,2227,100,China_fulgens,,1,Low
0,3111,98,China_fulgens,,1,Low
,2861,100,China_fulgens,,0,Low
,4664,93,China_fulgens,,0,Low
,2801,100,China_fulgens,,0,Low
0,3993,94,China_fulgens,,1,Low
,1215,103,china_styani,,0,Low
0,3381,99,China_fulgens,,1,Moderate
,1454,91,India,,0,Moderate
,3337,82,Nepal,,0,Moderate
0.078373016,1246,104,china_styani,,1,Low
0,3482,96,India,,1,Core
0.055004509,1511,98,Burma,IUCN IV,1,Low
0.042666667,2447,100,China_fulgens,,1,Low
0.002087683,2933,99,Burma,,1,Low
0,1610,82,Nepal,,1,Moderate
,3169,100,China_fulgens,,0,Low
0,3990,96,China_fulgens,,1,Low
0,2922,82,Nepal,,1,Moderate
0.002212389,3878,101,China_fulgens,,1,Low
0,2114,91,Bhutan,,1,Low
,1473,102,china_styani,,0,Moderate
,4133,103,china_styani,,0,Moderate
0,1978,93,India,,1,Low
0.020833333,2863,101,China_fulgens,,1,Moderate
,3944,102,china_styani,,0,Moderate
0,2978,82,Nepal,,1,Moderate
0,2991,96,India,,1,Low
,3293,98,China_fulgens,,0,Low
,3347,99,China_fulgens,,0,Moderate
0,3205,83,Nepal,,1,Moderate
,4588,94,China_fulgens,,0,Low
0,2514,82,Nepal,,1,Moderate
,2183,92,Bhutan,,0,Low
0.03219697,2824,103,china_styani,,1,Moderate
0.145907473,1385,91,India,,1,Moderate
,3893,97,China_fulgens,,0,Low
,3534,100,China_fulgens,,0,Low
,4060,83,Nepal,IUCN II,0,Low
0.008359457,1442,104,china_styani,,1,Low
0,3504,95,India,,1,Low
,4339,97,China_fulgens,,0,Low
0,2126,93,India,,1,Moderate
,4662,87,China_fulgens,,0,Low
,4321,98,China_fulgens,,0,Low
,4113,82,Nepal,,0,Core
0.001956947,3004,89,India,,1,Moderate
,1636,86,Nepal,,0,Moderate
0.060818713,1686,92,Bhutan,,1,Moderate
,2988,100,China_fulgens,,0,Low
,4152,96,India,,0,Low
,3010,100,China_fulgens,,0,Moderate
,3330,98,Burma,IUCN II,0,Low
,4688,93,China_fulgens,,0,Low
0,2456,93,India,,1,Core
0,3424,96,China_fulgens,,1,Low
0.005420054,2034,86,Nepal,,1,Core
0,2756,93,India,,1,Moderate
,2145,103,china_styani,,0,Moderate
0,2284,90,Bhutan,,1,Low
0.014611872,3799,95,China_fulgens,,1,Low
,4244,98,China_fulgens,,0,Low
,3709,99,China_fulgens,,0,Moderate
,4381,96,China_fulgens,,0,Low
0,2622,94,India,,1,Low
0.003606853,1363,98,Burma,IUCN IV,1,Low
,3032,98,China_fulgens,,0,Moderate
,4250,85,Nepal,IUCN II,0,Core
,2436,99,China_fulgens,,0,Low
0,2460,96,India,,1,Low
,4365,103,china_styani,,0,Moderate
,2668,100,China_fulgens,,0,Moderate
0.003652968,1376,95,India,,1,LowModerate
,2163,101,China_fulgens,,0,Low
0,3897,94,China_fulgens,,1,Low
,4496,99,China_fulgens,,0,Low
0.003239741,3224,103,china_styani,,1,Core
,3166,100,China_fulgens,,0,Low
0,4023,101,China_fulgens,,1,Low
0.008403361,3271,94,China_fulgens,,1,Low
0.220994475,900,91,India,,1,Moderate
0,3700,101,China_fulgens,,1,Low
,4129,100,China_fulgens,,0,Low
0.009661836,2699,99,China_fulgens,,1,Low
,4340,99,China_fulgens,,0,Low
,2717,96,India,,0,Low
,2471,100,China_fulgens,,0,Low
0,3204,82,Nepal,,1,Moderate
0,2310,102,china_styani,,1,Moderate
9.06E-04,2144,103,china_styani,,1,Moderate
0.014659686,2056,98,China_fulgens,,1,Moderate
0.004004004,2179,89,India,,1,Low
,2742,97,China_fulgens,,0,Low
,1845,98,Burma,,0,Moderate
0,3610,83,Nepal,,1,Low
0.006535948,3552,100,China_fulgens,,1,Moderate
,2478,85,Nepal,,0,Moderate
0,942,97,Burma,IUCN IV,1,Low
0.006289308,2842,82,Nepal,,1,Low
,3353,83,Nepal,,0,Low
0.003606853,2252,103,china_styani,,1,Moderate
0,2801,86,China_fulgens,,1,Core
,3842,100,China_fulgens,,0,Low
,4549,95,China_fulgens,,0,Low
,4323,98,China_fulgens,,0,Low
0.008474576,2563,103,china_styani,,1,Moderate
