iucn,percent_loss
IUCN IV,0.2707581
IUCN IV,0
IUCN VI,0
IUCN II,0
IUCN II,0
IUCN II,0
IUCN II,0
IUCN II,0
IUCN II,0.5979073
IUCN II,0
IUCN IV,0.0907
IUCN II,0
IUCN II,10.7370337
IUCN II,0
IUCN IV,5.5004509
IUCN IV,0.3606853
IUCN IV,0
IUCN IV,0
IUCN II,1.0430248
IUCN IV,0.4102564
IUCN II,0
IUCN II,0
IUCN II,0
IUCN II,0.4106776
IUCN II,0
IUCN IV,0
IUCN IV,0
IUCN IV,0
IUCN II,0.3095975
IUCN VI,1.0321101
IUCN IV,0.0908
IUCN IV,0.541028
IUCN II,0
IUCN IV,0
IUCN VI,0
IUCN VI,0
IUCN IV,0
IUCN IV,0
IUCN IV,0
IUCN II,0.8628955
IUCN II,0
IUCN II,0.8528785
IUCN IV,1.9837692
IUCN IV,0
IUCN II,1.0752688
IUCN II,0.5102041
IUCN IV,0
IUCN II,0
IUCN IV,0
IUCN VI,0
IUCN II,0
IUCN II,0
IUCN II,0
IUCN VI,0
IUCN VI,0
IUCN VI,0
IUCN IV,0.1803427
IUCN II,0
IUCN II,1.3346044
IUCN II,0.2347418
IUCN IV,0
IUCN IV,0
IUCN II,2.1887825
IUCN II,0
IUCN II,0.8264463
IUCN VI,0.8080808
IUCN II,0
IUCN VI,0
IUCN IV,0.631769
IUCN VI,0
IUCN IV,1.0493179
IUCN II,0
IUCN II,0.477327
IUCN IV,0
IUCN VI,0.2472188
IUCN II,0
IUCN IV,0.1843318
IUCN VI,1.4962594
IUCN IV,0
IUCN II,0.1150748
IUCN II,0
IUCN VI,0
IUCN II,0
IUCN IV,0
IUCN II,0
IUCN II,1.4285714
IUCN IV,0.4520796
IUCN II,13.8157895
IUCN IV,0.0991
IUCN II,0.7540057
IUCN IV,0
IUCN II,0
IUCN IV,0
IUCN IV,0
IUCN II,0
IUCN IV,0
IUCN VI,0
IUCN II,0
IUCN II,0
IUCN IV,0
IUCN II,0.6564551
IUCN II,1.3819095
IUCN IV,0.0902
IUCN VI,0
