loss_mean,elevation,longitude,Country,iucn,over_20_pc_canopy_cover,Habitat_class,iucn,,,loss_mean,elevation,longitude,Country,iucn,over_20_pc_canopy_cover,Habitat_class
,3694,98.89280465,China_fulgens,0,0,Low,,,,,3694,98.89280465,China_fulgens,0,0,Low
0,1892,98.62869996,Burma,0,1,Moderate,0,,,0,1892,98.62869996,Burma,0,1,Moderate
,3703,94.55475032,India,,0,Moderate,0,,,,3703,94.55475032,India,0,0,Moderate
9.89E-04,3032,99.11352072,China_fulgens,,1,Low,0,,,0.00098912,3032,99.11352072,China_fulgens,0,1,Low
0,4052,99.33208083,China_fulgens,,1,Low,0,,,0,4052,99.33208083,China_fulgens,0,1,Low
,3356,95.76397252,China_fulgens,,0,Low,0,,,,3356,95.76397252,China_fulgens,0,0,Low
0,2484,102.8910263,china_styani,,1,Moderate,0,,,0,2484,102.8910263,china_styani,0,1,Moderate
,3733,97.79111079,China_fulgens,,0,Low,0,,,,3733,97.79111079,China_fulgens,0,0,Low
0.041894353,2213,98.19589166,Burma,,1,Core,0,,,0.041894353,2213,98.19589166,Burma,0,1,Core
0.010727056,3430,82.03564885,Nepal,,1,Moderate,0,,,0.010727056,3430,82.03564885,Nepal,0,1,Moderate
,2568,100.914553,China_fulgens,,0,Low,0,,,,2568,100.914553,China_fulgens,0,0,Low
0.016274864,2545,98.54596512,Burma,,1,Low,0,,,0.016274864,2545,98.54596512,Burma,0,1,Low
,4161,93.96374869,China_fulgens,,0,Moderate,0,,,,4161,93.96374869,China_fulgens,0,0,Moderate
0.027993779,2117,101.1185604,China_fulgens,,1,Low,0,,,0.027993779,2117,101.1185604,China_fulgens,0,1,Low
0.005300353,3945,103.0661978,china_styani,,1,Moderate,0,,,0.005300353,3945,103.0661978,china_styani,0,1,Moderate
0,2675,98.17837451,Burma,,1,Moderate,0,,,0,2675,98.17837451,Burma,0,1,Moderate
0.002707581,1093,97.22867559,Burma,IUCN IV,1,Low,0,,,0.002707581,1093,97.22867559,Burma,IUCN IV,1,Low
0.001004016,4338,94.6800653,China_fulgens,,1,Low,0,,,0.001004016,4338,94.6800653,China_fulgens,,1,Low
0,4125,97.91561729,China_fulgens,,1,Low,0,,,0,4125,97.91561729,China_fulgens,,1,Low
0.029333333,1797,99.06043029,China_fulgens,,1,Low,0,,,0.029333333,1797,99.06043029,China_fulgens,,1,Low
0,3219,96.25445266,India,,1,Low,0,,,0,3219,96.25445266,India,,1,Low
,3706,99.02270104,China_fulgens,,0,Low,0,,,,3706,99.02270104,China_fulgens,,0,Low
0,1739,97.24834869,Burma,IUCN IV,1,Moderate,0,,,0,1739,97.24834869,Burma,IUCN IV,1,Moderate
0.017610063,2043,102.5261307,china_styani,,1,Moderate,0,,,0.017610063,2043,102.5261307,china_styani,,1,Moderate
9.02E-04,1059,98.04147126,Burma,,1,Core,0,,,0.000901713,1059,98.04147126,Burma,,1,Core
0.001597444,3524,81.94051726,Nepal,,1,Moderate,0,,,0.001597444,3524,81.94051726,Nepal,,1,Moderate
,2967,94.40545032,China_fulgens,,0,Low,0,,,,2967,94.40545032,China_fulgens,,0,Low
0.008368201,2745,95.37805627,China_fulgens,,1,Low,0,,,0.008368201,2745,95.37805627,China_fulgens,,1,Low
,2207,100.1863787,China_fulgens,,0,Low,0,,,,2207,100.1863787,China_fulgens,,0,Low
0,2682,84.82141438,Nepal,IUCN VI,1,Moderate,0,,,0,2682,84.82141438,Nepal,IUCN VI,1,Moderate
0,2189,94.46473912,India,,1,Moderate,0,,,0,2189,94.46473912,India,,1,Moderate
,4065,99.83253227,China_fulgens,,0,Low,0,,,,4065,99.83253227,China_fulgens,,0,Low
0.002134472,2903,102.6026671,china_styani,,1,Moderate,0,,,0.002134472,2903,102.6026671,china_styani,,1,Moderate
0.001899335,3079,103.9412467,china_styani,,1,Low,0,,,0.001899335,3079,103.9412467,china_styani,,1,Low
9.06E-04,881,91.25640609,India,,1,Low,0,,,0.000905797,881,91.25640609,India,,1,Low
,1971,99.21754563,China_fulgens,,0,Low,,,,,1971,99.21754563,China_fulgens,,0,Low
0,2539,95.33358967,China_fulgens,,1,Low,,,,0,2539,95.33358967,China_fulgens,,1,Low
,4007,102.1132649,china_styani,,0,Moderate,,,,,4007,102.1132649,china_styani,,0,Moderate
0,1995,95.49744237,China_fulgens,,1,Low,,,,0,1995,95.49744237,China_fulgens,,1,Low
,2319,99.5377052,China_fulgens,,0,Low,,,,,2319,99.5377052,China_fulgens,,0,Low
,2906,81.76265084,Nepal,,0,Moderate,,,,,2906,81.76265084,Nepal,,0,Moderate
,2215,98.47374057,Burma,,0,Low,,,,,2215,98.47374057,Burma,,0,Low
0,3644,100.5305232,China_fulgens,,1,Low,,,,0,3644,100.5305232,China_fulgens,,1,Low
,1924,100.3222039,China_fulgens,,0,Low,,,,,1924,100.3222039,China_fulgens,,0,Low
0,3404,98.89496061,China_fulgens,,1,Low,,,,0,3404,98.89496061,China_fulgens,,1,Low
0,3022,84.5117651,Nepal,,1,Moderate,,,,0,3022,84.5117651,Nepal,,1,Moderate
0.007213706,1825,103.4510361,china_styani,,1,Moderate,,,,0.007213706,1825,103.4510361,china_styani,,1,Moderate
,4201,97.77197667,Burma,IUCN II,0,Low,,,,,4201,97.77197667,Burma,IUCN II,0,Low
0,3497,88.88808767,India,,1,Low,,,,0,3497,88.88808767,India,,1,Low
,1971,103.7003186,china_styani,,0,Low,,,,,1971,103.7003186,china_styani,,0,Low
,4202,103.8587814,china_styani,,0,Low,,,,,4202,103.8587814,china_styani,,0,Low
0,1940,83.49684849,Nepal,,1,Moderate,,,,0,1940,83.49684849,Nepal,,1,Moderate
0.063348416,1607,103.302814,china_styani,,1,Moderate,,,,0.063348416,1607,103.302814,china_styani,,1,Moderate
,2758,82.36766618,Nepal,,0,Moderate,,,,,2758,82.36766618,Nepal,,0,Moderate
0.002057613,1478,89.03307576,Bhutan,,1,Moderate,,,,0.002057613,1478,89.03307576,Bhutan,,1,Moderate
0.008122744,2270,103.3464722,china_styani,,1,Moderate,,,,0.008122744,2270,103.3464722,china_styani,,1,Moderate
0,1172,103.2039095,china_styani,,1,Low,,,,0,1172,103.2039095,china_styani,,1,Low
0,3234,100.0777723,China_fulgens,,1,Low,,,,0,3234,100.0777723,China_fulgens,,1,Low
,3709,84.60474073,Nepal,,0,Moderate,,,,,3709,84.60474073,Nepal,,0,Moderate
,2243,82.47546402,Nepal,,0,Low,,,,,2243,82.47546402,Nepal,,0,Low
0.004512635,2105,88.4288689,India,,1,Moderate,,,,0.004512635,2105,88.4288689,India,,1,Moderate
,4006,98.91139978,China_fulgens,,0,Low,,,,,4006,98.91139978,China_fulgens,,0,Low
0,1878,93.61717865,India,,1,Low,,,,0,1878,93.61717865,India,,1,Low
,1883,99.76974003,China_fulgens,,0,Low,,,,,1883,99.76974003,China_fulgens,,0,Low
0,2651,95.22983425,China_fulgens,,1,Low,,,,0,2651,95.22983425,China_fulgens,,1,Low
,1488,86.11687485,Nepal,,0,Low,,,,,1488,86.11687485,Nepal,,0,Low
0.010091743,1431,103.0891048,china_styani,,1,Low,,,,0.010091743,1431,103.0891048,china_styani,,1,Low
,1820,103.0387094,china_styani,,0,Moderate,,,,,1820,103.0387094,china_styani,,0,Moderate
,2723,95.74402992,China_fulgens,,0,Low,,,,,2723,95.74402992,China_fulgens,,0,Low
,1619,100.2141366,China_fulgens,,0,Low,,,,,1619,100.2141366,China_fulgens,,0,Low
,4705,98.03608137,China_fulgens,,0,Low,,,,,4705,98.03608137,China_fulgens,,0,Low
0.00456621,3333,91.76224742,China_fulgens,,1,Moderate,,,,0.00456621,3333,91.76224742,China_fulgens,,1,Moderate
0,3757,96.20432667,India,,1,Low,,,,0,3757,96.20432667,India,,1,Low
,3134,97.45181711,China_fulgens,,0,Low,,,,,3134,97.45181711,China_fulgens,,0,Low
0,2530,97.92801404,Burma,IUCN II,1,Moderate,,,,0,2530,97.92801404,Burma,IUCN II,1,Moderate
0,2446,82.3819494,Nepal,,1,Moderate,,,,0,2446,82.3819494,Nepal,,1,Moderate
,3425,100.9768063,China_fulgens,,0,Low,,,,,3425,100.9768063,China_fulgens,,0,Low
,750,103.4472631,china_styani,,0,Moderate,,,,,750,103.4472631,china_styani,,0,Moderate
0.004464286,2936,98.92083209,China_fulgens,,1,Moderate,,,,0.004464286,2936,98.92083209,China_fulgens,,1,Moderate
0,3744,97.44292379,China_fulgens,,1,Low,,,,0,3744,97.44292379,China_fulgens,,1,Low
0,3682,101.9203068,china_styani,,1,Low,,,,0,3682,101.9203068,china_styani,,1,Low
,3541,96.10569165,China_fulgens,,0,Low,,,,,3541,96.10569165,China_fulgens,,0,Low
,4374,99.94113859,China_fulgens,,0,Low,,,,,4374,99.94113859,China_fulgens,,0,Low
,4464,102.8603039,china_styani,,0,Moderate,,,,,4464,102.8603039,china_styani,,0,Moderate
0,3976,99.0251265,China_fulgens,,1,Low,,,,0,3976,99.0251265,China_fulgens,,1,Low
,2497,100.9164395,China_fulgens,,0,Low,,,,,2497,100.9164395,China_fulgens,,0,Low
0,3904,99.1690366,China_fulgens,,1,Low,,,,0,3904,99.1690366,China_fulgens,,1,Low
,1353,88.61347269,India,,0,Moderate,,,,,1353,88.61347269,India,,0,Moderate
,1569,98.62384906,China_fulgens,,0,Low,,,,,1569,98.62384906,China_fulgens,,0,Low
0,3187,91.14860825,Bhutan,IUCN II,1,Moderate,,,,0,3187,91.14860825,Bhutan,IUCN II,1,Moderate
,4312,95.55511422,China_fulgens,,0,Low,,,,,4312,95.55511422,China_fulgens,,0,Low
,5062,94.68788064,China_fulgens,,0,Low,,,,,5062,94.68788064,China_fulgens,,0,Low
0,2623,91.0515902,Bhutan,IUCN II,1,Core,,,,0,2623,91.0515902,Bhutan,IUCN II,1,Core
,2928,85.32375229,China_fulgens,,0,Core,,,,,2928,85.32375229,China_fulgens,,0,Core
0.012060302,2074,103.2246606,china_styani,,1,Low,,,,0.012060302,2074,103.2246606,china_styani,,1,Low
,2566,81.89200824,Nepal,,0,Moderate,,,,,2566,81.89200824,Nepal,,0,Moderate
,4565,94.77600537,China_fulgens,,0,Low,,,,,4565,94.77600537,China_fulgens,,0,Low
0,3152,102.3547321,china_styani,,1,Moderate,,,,0,3152,102.3547321,china_styani,,1,Moderate
0,3820,90.81901637,Bhutan,IUCN II,1,Core,,,,0,3820,90.81901637,Bhutan,IUCN II,1,Core
0.010152284,4016,98.43089093,China_fulgens,,1,Low,,,,0.010152284,4016,98.43089093,China_fulgens,,1,Low
0,2437,83.28583423,Nepal,,1,Moderate,,,,0,2437,83.28583423,Nepal,,1,Moderate
0,3085,98.7165552,China_fulgens,,1,Low,,,,0,3085,98.7165552,China_fulgens,,1,Low
0.012738854,1486,103.3488976,china_styani,,1,Core,,,,0.012738854,1486,103.3488976,china_styani,,1,Core
,3709,96.40860357,China_fulgens,,0,Low,,,,,3709,96.40860357,China_fulgens,,0,Low
