elevation,habitat_class,country,percent_loss,longitude_round,area,averagecountry,secountry,averageclass,seclass
4024,low,china,0,98,0,1.219872364,0.163011557,1.203701833,0.119280872
2986,low,china_spp,31.29251701,104,31292.51701,1.15281729,0.141674902,1.203701833,0.119280872
2373,moderate,nepal,0,83,0,0.74153777,0.1118324,1.17929022,0.115853324
2057,moderate,china_spp,2.944062807,103,2944.062807,1.15281729,0.141674902,1.17929022,0.115853324
3354,low,nepal,0.299401198,82,299.401198,0.74153777,0.1118324,1.203701833,0.119280872
276,low,india,0.094250707,92,94.250707,1.546944592,0.245287153,1.203701833,0.119280872
1257,moderate,china_spp,2.408376963,103,2408.376963,1.15281729,0.141674902,1.17929022,0.115853324
3084,core,bhutan,0.188146754,89,188.146754,0.335161377,0.049644415,0.496506815,0.077524625
2719,low,india,0,97,0,1.546944592,0.245287153,1.203701833,0.119280872
3600,low,china,0,95,0,1.219872364,0.163011557,1.203701833,0.119280872
2355,low,china,0,100,0,1.219872364,0.163011557,1.203701833,0.119280872
3486,low,nepal,2.416918429,83,2416.918429,0.74153777,0.1118324,1.203701833,0.119280872
2565,low,nepal,2.366863905,83,2366.863905,0.74153777,0.1118324,1.203701833,0.119280872
3710,core,china_spp,4.539007092,102,4539.007092,1.15281729,0.141674902,0.496506815,0.077524625
3518,low,bhutan,0,91,0,0.335161377,0.049644415,1.203701833,0.119280872
4096,low,china,19.65648855,95,19656.48855,1.219872364,0.163011557,1.203701833,0.119280872
3311,low,china_spp,0,103,0,1.15281729,0.141674902,1.203701833,0.119280872
3028,low,india,0,96,0,1.546944592,0.245287153,1.203701833,0.119280872
2434,low,india,0,96,0,1.546944592,0.245287153,1.203701833,0.119280872
2806,moderate,china,0.196463654,100,196.463654,1.219872364,0.163011557,1.17929022,0.115853324
2593,low,india,0,93,0,1.546944592,0.245287153,1.203701833,0.119280872
2718,low,china,0.248447205,97,248.447205,1.219872364,0.163011557,1.203701833,0.119280872
2541,low,china,0,95,0,1.219872364,0.163011557,1.203701833,0.119280872
818,low,china_spp,0,104,0,1.15281729,0.141674902,1.203701833,0.119280872
2807,core,burma,0.113250283,98,113.250283,1.184982172,0.215918281,0.496506815,0.077524625
1870,moderate,india,0,95,0,1.546944592,0.245287153,1.17929022,0.115853324
3213,moderate,china_spp,1.179941003,103,1179.941003,1.15281729,0.141674902,1.17929022,0.115853324
3422,moderate,burma,0,97,0,1.184982172,0.215918281,1.17929022,0.115853324
2524,moderate,china_spp,0,102,0,1.15281729,0.141674902,1.17929022,0.115853324
1547,low,china,0.824742268,95,824.742268,1.219872364,0.163011557,1.203701833,0.119280872
3858,low,china,0,99,0,1.219872364,0.163011557,1.203701833,0.119280872
3042,core,india,0,93,0,1.546944592,0.245287153,0.496506815,0.077524625
2751,low,china_spp,0,102,0,1.15281729,0.141674902,1.203701833,0.119280872
2561,core,nepal,0,88,0,0.74153777,0.1118324,0.496506815,0.077524625
4005,moderate,bhutan,0,91,0,0.335161377,0.049644415,1.17929022,0.115853324
4327,low,china,0,94,0,1.219872364,0.163011557,1.203701833,0.119280872
3098,core,india,0,96,0,1.546944592,0.245287153,0.496506815,0.077524625
2598,moderate,burma,0,99,0,1.184982172,0.215918281,1.17929022,0.115853324
